x,y,name,topGenre,A1,P1,A2,P2,A3,P3,A4,P4,A5,P5,A6,P6,A7,P7,A8,P8,A9,P9,A10,P10,A11,P11,A12,P12,A13,P13,A14,P14,A15,P15,A16,P16,A17,P17,A18,P18,A19,P19,A20,P20,A21,P21,A22,P22,A23,P23,A24,P24,A25,P25,A26,P26,A27,P27,A28,P28,A29,P29,A30,P30,A31,P31,A32,P32,A33,P33,A34,P34,A35,P35,A36,P36,A37,P37,A38,P38,A39,P39,A40,P40,A41,P41,A42,P42,A43,P43,A44,P44,A45,P45,A46,P46,A47,P47,A48,P48,A49,P49,A50,P50
-0.17939364198001048,-0.2045030815665136,garethdandrews,classic rock,The Beatles,4607,Tame Impala,2504,The Beach Boys,2066,Pink Floyd,1825,Cream,1026,Mac DeMarco,862,Led Zeppelin,640,Oasis,564,Bob Dylan,446,King Gizzard & The Lizard Wizard,394,Fleetwood Mac,393,Derek and the Dominos,378,Above & Beyond,351,Twenty One Pilots,324,Kanye West,295,Temples,274,Eric Clapton,270,alt-J,268,Red Hot Chili Peppers,256,Arctic Monkeys,254,The Kinks,254,Two Door Cinema Club,245,Pendulum,226,blink-182,217,Psychedelic Porn Crumpets,203,George Harrison,200,The Who,200,Radiohead,197,Coldplay,193,Foo Fighters,187,Unknown Mortal Orchestra,182,Anderson .Paak,178,Paul McCartney,177,Marty Robbins,175,Queen,168,Royal Blood,161,Cage the Elephant,155,Nirvana,155,Bring Me the Horizon,151,Jimi Hendrix,147,deadmau5,143,Frank Sinatra,137,David Bowie,134,Childish Gambino,127,Ella Fitzgerald,127,Gorillaz,126,The Smiths,115,The Skints,113,Al Green,107,Yusuf / Cat Stevens,107
-0.03992665297343988,-0.11794069171275497,bearcalleddave,classic rock,Lake Street Dive,494,Houndmouth,215,I'm With Her,213,Otis Redding,196,Chris Stapleton,168,The Beatles,168,Eagles,165,Eric Clapton,161,Nickel Creek,147,Supertramp,109,Derek and the Dominos,104,Ed Sheeran,94,St. Paul & The Broken Bones,82,JJ Grey & Mofro,80,Joe Rogan,78,Aretha Franklin,72,Pink Floyd,70,Caro Emerald,69,Shakey Graves,64,Danielle Nicole,55,Jimi Hendrix,52,The Wood Brothers,50,Boston,48,Randy Newman,47,Faces,46,Green Day,43,Little Richard,43,Eddie Izzard,41,The Beach Boys,41,The Kinks,40,Lianne La Havas,39,The Other Favorites,38,The Harpoonist & The Axe Murderer,35,Tedeschi Trucks Band,34,Arctic Monkeys,31,John Mayer,31,Mac DeMarco,30,Queen,30,B.B. King,28,Al Green,26,James Gang,25,Bob Dylan,23,Dave Rawlings Machine,23,Sara Bareilles,23,Sum 41,23,Neil Young,22,Adele,21,Commodores,19,Kirk Fletcher,18,Corinne Bailey Rae,17
-0.089206102589022,-0.027534630574609014,khuneeee,Drum and bass,Radiohead,323,Coldplay,307,Pendulum,285,Run the Jewels,253,Kendrick Lamar,250,The Glitch Mob,198,Atmosphere,187,Mick Gordon,187,Eric Prydz,181,Muse,170,Joey Bada$$,168,Noisia,156,A Broken Silence,149,Infected Mushroom,141,Metrik,127,Matrix & Futurebound,126,GoldLink,123,BABYMETAL,114,Memtrix,114,Thank You Scientist,104,fox capture plan,102,Delta Heavy,101,Black Sun Empire,98,Above & Beyond,94,Tyler, the Creator,94,The Underachievers,92,Kaiser Chiefs,86,Sufjan Stevens,86,Jorja Smith,82,The Pineapple Thief,81,Davip,79,Danny Byrd,78,Hans Zimmer,77,Red Hot Chili Peppers,75,Foo Fighters,74,t+pazolite,74,Datsik,72,Fight The Fade,72,The Bloody Beetroots,70,Tristam,70,Grabbitz,69,Native Construct,69,Injury Reserve,67,Noel Gallagher's High Flying Birds,67,Rejjie Snow,67,The Qemists,67,Logic,65,Seven Lions,64,Toploader,63,DC Breaks,60
-0.08455530338704123,-0.1295095013724555,Whatashamemum,rock,blink-182,1759,Enter Shikari,1350,David Bowie,773,Green Day,733,Neck Deep,715,BROCKHAMPTON,590,My Chemical Romance,499,System of a Down,424,Gorillaz,404,Foo Fighters,382,Alkaline Trio,377,Bring Me the Horizon,355,The Beatles,355,Royal Blood,353,A Day to Remember,347,Oasis,321,Pendulum,320,Superorganism,311,Kanye West,299,Two Door Cinema Club,292,The Story So Far,284,Arctic Monkeys,283,Tyler, the Creator,271,Queen,261,Pixies,255,Nas,249,Red Hot Chili Peppers,248,Rage Against the Machine,246,The Strokes,246,Biffy Clyro,242,Wolf Alice,230,Vant,228,Sum 41,217,Muse,205,Pink Floyd,199,While She Sleeps,197,The Front Bottoms,196,Moose Blood,193,Architects,180,Linkin Park,175,Nirvana,172,Zebrahead,172,Skepta,169,Audioslave,149,Earl Sweatshirt,149,Yellowcard,149,Metallica,148,Marmozets,141,The Wonder Years,141,Anderson .Paak,137
-0.13978803631924053,0.015223270505167561,JamesPicton,Drum and bass,Kasabian,87,Red Hot Chili Peppers,83,alt-J,78,Audioslave,59,Noisia,46,Foals,40,Cage the Elephant,38,Gorillaz,35,Vant,34,Holy Goof,32,Tame Impala,32,Weezer,32,Queens of the Stone Age,30,Royal Blood,28,Don Broco,27,Nirvana,27,Chris Lorenzo,24,Wiley,23,The Jam,21,My Nu Leng,19,Neil Davidge,19,Post Malone,19,Wolf Alice,19,DJ Zinc,18,Fatherson,18,Kanye West,18,Skepsis,18,TQD,17,BROCKHAMPTON,16,CHVRCHES,16,Drake,16,Unknown Mortal Orchestra,16,AC Slater,15,Childish Gambino,15,Darkzy,15,Serum,15,DJ Hazard,14,DJ Q,14,Wilkinson,14,Anderson .Paak,13,Biffy Clyro,13,Bonobo,13,Dawn Wall,13,Flava D,13,Jamie T,13,Kano,13,Nothing But Thieves,13,The Smashing Pumpkins,13,Skream,12,The Presidents of the United States of America,12
-0.13319352307729143,0.07788460163000985,TheProseph,House,Kanye West,2813,Childish Gambino,527,Anderson .Paak,448,Kendrick Lamar,444,Icarus,267,Oliver Heldens,265,Tchami,211,Pink Floyd,197,Ice Cube,192,Drake,190,Chance the Rapper,189,Shift K3Y,174,The Notorious B.I.G.,146,Stormzy,138,Dr. Dre,131,Vato Gonzalez,131,Disciples,120,Low Steppa,108,Gorgon City,93,Jengi,93,Hi-Lo,86,Mr. Belt & Wezol,85,High Contrast,83,Chocolate Puma,70,Katy Perry,67,Logic,66,Just Kiddin,64,Lucky Charmes,62,Gorillaz,61,MK,58,Joss Stone,57,Lupe Fiasco,57,Martin Garrix,54,TQD,54,Bakermat,52,Calvin Harris,51,Snoop Dogg,47,arle,46,BROHUG,46,Skepta,46,Throttle,46,Alex Preston,43,Oliver Nelson,43,DJ Zinc,42,VanRip,42,XYconstant,42,AC Slater,41,Cosmo's Midnight,41,Duke Dumont,41,Go Freek,41
-0.331804187531694,-0.02789359607632795,dylankench,Hip-Hop,BROCKHAMPTON,251,Kanye West,199,Gorillaz,189,Sufjan Stevens,180,Kendrick Lamar,154,Weezer,138,Car Seat Headrest,115,Johnny Cash,115,Father John Misty,109,Denzel Curry,100,The Beatles,91,Kids See Ghosts,88,Tyler, the Creator,88,Travi$ Scott,83,Simon & Garfunkel,82,Chase & Status,73,The Mouse Outfit,73,Pusha T,69,Wolf Alice,69,Neil Young,67,The Mountain Goats,67,Lorde,66,Superorganism,66,Bob Dylan,64,Vince Staples,64,Post Malone,60,Jorja Smith,56,Radiohead,55,J Dilla,54,Joey Bada$$,54,CHVRCHES,53,Drake,51,DANGERDOOM,50,The Killers,50,Hank Williams,49,Fleet Foxes,46,JPEGMAFIA,44,The Prodigy,44,Billy Bragg,42,Verb T,42,Arcade Fire,40,Daft Punk,40,Nothing But Thieves,40,Remo Drive,40,blink-182,37,The Dear Hunter,37,Anderson .Paak,36,LIL UZI VERT,36,MGMT,36,Jimi Hendrix,35
-0.26473691462034965,0.09112667791243238,percyDD,Hip-Hop,BROCKHAMPTON,1380,Nothing But Thieves,733,Kendrick Lamar,670,Childish Gambino,623,Post Malone,588,Enter Shikari,564,Anderson .Paak,518,Tyler, the Creator,471,Kanye West,454,Jorja Smith,334,Manchester Orchestra,324,The Japanese House,297,Methyl Ethel,293,Nahko and Medicine for the People,292,The Internet,277,Gorillaz,264,Unknown Mortal Orchestra,264,Frank Ocean,254,Two Door Cinema Club,226,Wolf Alice,224,SZA,223,Mother Mother,221,Drake,211,London Grammar,207,Marmozets,203,Kids See Ghosts,196,Temples,194,Chance the Rapper,187,Tame Impala,182,A Tribe Called Quest,180,Loyle Carner,176,James Blake,167,Kaytranada,160,Beach House,158,Kevin Abstract,154,Circa Survive,151,Eminem,146,Mac Miller,139,MGMT,137,Twenty One Pilots,135,EarthGang,133,Lower Than Atlantis,130,Billie Eilish,120,Stick Figure,118,Pusha T,111,A Day to Remember,110,Stormzy,110,Lil Dicky,107,Willow,106,Pink Floyd,105
-0.21510341440184394,-0.15202928729153536,CatTemplar,seen live,The Dear Hunter,3648,Dream Theater,840,Deerhunter,715,Sufjan Stevens,680,Pink Floyd,545,The Japanese House,494,Two Door Cinema Club,470,Kanye West,430,Tame Impala,425,Manchester Orchestra,424,The Beatles,421,Biffy Clyro,403,Childish Gambino,386,Unknown Mortal Orchestra,371,Queen,349,Methyl Ethel,332,Gorillaz,330,Fleetwood Mac,321,Devin Townsend Project,320,Dr. Dog,314,Kendrick Lamar,299,Death Grips,288,Ween,288,Animal Collective,272,Jimi Hendrix,269,BROCKHAMPTON,264,Don Broco,260,Nothing But Thieves,249,Father John Misty,246,Flying Colors,239,Andrew Judah,224,Ty Segall,222,Creedence Clearwater Revival,215,Phantogram,213,Enter Shikari,208,Mac DeMarco,198,Run the Jewels,198,Courtney Barnett,193,La Femme,188,Anderson .Paak,177,The Growlers,175,Dr Syntax,173,CHVRCHES,153,Glass Animals,152,Coheed and Cambria,151,Carpenter Brut,148,TesseracT,148,Haken,146,Jack Garratt,145,Neutral Milk Hotel,145
-0.29118119413575405,0.23280888101495287,SonnyThornhill,Hip-Hop,Frank Ocean,782,Kanye West,744,BROCKHAMPTON,574,Tyler, the Creator,462,Aminé,347,Kendrick Lamar,299,Post Malone,295,Chance the Rapper,264,A$AP Rocky,258,Mura Masa,251,Vince Staples,202,Kids See Ghosts,198,Travi$ Scott,192,Gorillaz,148,Rejjie Snow,144,J Dilla,138,Dave,126,Denzel Curry,125,Mick Jenkins,121,Young Fathers,116,Childish Gambino,115,Young Thug,112,Lil Yachty,111,Kali Uchis,107,LIL UZI VERT,107,Skepta,107,SZA,106,Corbin,104,Playboi Carti,104,Migos,101,Drake,100,Joey Bada$$,100,Steve Lacy,97,Anderson .Paak,95,Dizzee Rascal,92,Glass Animals,87,Jai Paul,86,Pusha T,83,Jorja Smith,80,Nas,79,Kano,78,J.I.D,77,A$AP Mob,76,The 1975,75,GoldLink,73,Future,70,Marian Hill,69,Flatbush ZOMBiES,67,Nxworries,67,Cardi B,64
